"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"2016-03-05","Dominican_Republic-Distrito_Nacional","province","zika_suspected_pregnant","DO0008",NA,NA,3,"cases"
"2016-03-05","Dominican_Republic-Independencia","province","zika_suspected_pregnant","DO0008",NA,NA,1,"cases"
"2016-03-05","Dominican_Republic","country","zika_suspected_cumulative","DO0005",NA,NA,670,"cases"
"2016-03-05","Dominican_Republic","country","zika_suspected_pregnant_cumulative","DO0007",NA,NA,41,"cases"
"2016-03-12","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,122,"cases"
"2016-03-12","Dominican_Republic","country","zika_suspected_pregnant","DO0008",NA,NA,9,"cases"
"2016-03-12","Dominican_Republic-Santo_Domingo","province","total_zika_new_suspected","DO0001",NA,NA,65,"cases"
"2016-03-12","Dominican_Republic-Distrito_Nacional","province","total_zika_new_suspected","DO0001",NA,NA,36,"cases"
"2016-03-12","Dominican_Republic-Azua","province","total_zika_new_suspected","DO0001",NA,NA,3,"cases"
"2016-03-12","Dominican_Republic-Barahona","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Puerto_Plata","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Santiago","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-San_Cristobal","province","total_zika_new_suspected","DO0001",NA,NA,7,"cases"
"2016-03-12","Dominican_Republic-San_Pedro_de_Macoris","province","total_zika_new_suspected","DO0001",NA,NA,2,"cases"
"2016-03-12","Dominican_Republic-Espaillat","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-La_Vega","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Monte_Cristi","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Peravia","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Hermanas_Mirabal","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Valverde","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic","country","zika_suspected_cumulative","DO0005",NA,NA,822,"cases"
"2016-03-12","Dominican_Republic","country","zika_suspected_pregnant_cumulative","DO0007",NA,NA,50,"cases"
"2016-03-12","Dominican_Republic","country","gbs_reported","DO0010",NA,NA,15,"cases"
"2016-03-12","Dominican_Republic-Distrito_Nacional","province","gbs_reported","DO0010",NA,NA,7,"cases"
"2016-03-12","Dominican_Republic-Santo_Domingo","province","gbs_reported","DO0010",NA,NA,4,"cases"
"2016-03-12","Dominican_Republic-Azua","province","gbs_reported","DO0010",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Maria_Trinidad_Sanchez","province","gbs_reported","DO0010",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-San_Juan","province","gbs_reported","DO0010",NA,NA,1,"cases"
"2016-03-12","Dominican_Republic-Puerto_Plata","province","gbs_reported","DO0010",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,143,"cases"
"2016-03-19","Dominican_Republic","country","total_zika_new_confirmed_pcr","DO0002",NA,NA,18,"cases"
"2016-03-19","Dominican_Republic-Duarte","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-Espaillat","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-La_Vega","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-Maria_Trinidad_Sanchez","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,2,"cases"
"2016-03-19","Dominican_Republic-San_Cristobal","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-Peravia","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-Pedernales","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-San_Pedro_de_Macoris","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-La_Romana","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-La_Altagracia","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,2,"cases"
"2016-03-19","Dominican_Republic-Other","province","total_zika_new_confirmed_pcr","DO0002",NA,NA,6,"cases"
"2016-03-19","Dominican_Republic","country","zika_suspected_cumulative","DO0005",NA,NA,991,"cases"
"2016-03-19","Dominican_Republic","country","zika_suspected_pregnant_cumulative","DO0007",NA,NA,68,"cases"
"2016-03-19","Dominican_Republic-Distrito_Nacional","province","gbs_zika_confirmed","DO0012",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-Barahona","province","gbs_zika_confirmed_pregnant","DO0013",NA,NA,2,"cases"
"2016-03-19","Dominican_Republic-Independencia","province","gbs_zika_confirmed_pregnant","DO0013",NA,NA,1,"cases"
"2016-03-19","Dominican_Republic-Distrito_Nacional","province","gbs_zika_confirmed_pregnant","DO0013",NA,NA,1,"cases"
2016-03-26,"Dominican_Republic","country","gbs_confirmed_cumulative","DO0020",NA,NA,1,"cases"
2016-03-26,"Dominican_Republic-Distrito_Nacional","province","gbs_confirmed_cumulative","DO0020",NA,NA,1,"cases"
2016-03-26,"Dominican_Republic-Azua","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Baoruco","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Barahona","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Dajabon","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Duarte","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Elias_Pina","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-El_Seibo","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Espaillat","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Independencia","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-La_Altagracia","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-La_Romana","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
