report_date,location,location_type,data_field,data_field_code,time_period_year,time_period_week,value,unit
2016_03_03,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,127,cases
2016_03_03,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,147,cases
2016_03_03,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016_03_03,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,157,cases
2016_03_03,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,14,cases
2016_03_03,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016_03_03,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
2016_03_03,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,1,cases
2016_03_03,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1064,cases
2016_03_03,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,1529,cases
2016_03_10,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,158,cases
2016_03_10,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,192,cases
2016_03_10,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016_03_10,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,201,cases
2016_03_10,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,21,cases
2016_03_10,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016_03_10,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
2016_03_10,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,1,cases
2016_03_10,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1132,cases
2016_03_10,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,1532,cases
2016_03_17,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,161,cases
2016_03_17,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,192,cases
2016_03_17,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016_03_17,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,249,cases
2016_03_17,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,24,cases
2016_03_17,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016_03_17,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
2016_03_17,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,1,cases
2016_03_17,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1010,cases
